Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Churn
8.0,0.0,38.0,0,4370.0,71.0,5.0,17.0,0
0.0,0.0,,0,318.0,5.0,7.0,4.0,0
10.0,0.0,37.0,0,2453.0,60.0,359.0,24.0,0
10.0,0.0,38.0,0,4198.0,66.0,,35.0,0
3.0,0.0,38.0,0,,58.0,,33.0,0
11.0,0.0,,1,,,,28.0,0
4.0,0.0,38.0,0,2360.0,39.0,285.0,18.0,0
13.0,0.0,37.0,2,,121.0,,43.0,0
,0.0,38.0,0,13773.0,,,44.0,0
7.0,,,1,,83.0,2.0,25.0,0
6.0,0.0,38.0,0,5918.0,,7.0,,0
9.0,0.0,38.0,0,2238.0,54.0,,,0
25.0,0.0,,3,15140.0,225.0,54.0,32.0,0
4.0,0.0,38.0,1,,27.0,483.0,,0
9.0,0.0,37.0,0,,182.0,150.0,30.0,0
3.0,0.0,37.0,1,,86.0,186.0,,0
0.0,0.0,,0,875.0,14.0,0.0,11.0,1
2.0,0.0,38.0,0,710.0,14.0,,8.0,0
0.0,,37.0,0,0.0,0.0,,0.0,1
3.0,0.0,37.0,0,7508.0,,,43.0,0
7.0,0.0,37.0,1,11465.0,154.0,11.0,47.0,0
,0.0,37.0,1,6718.0,75.0,,37.0,0
,1.0,33.0,0,955.0,47.0,,17.0,1
,1.0,,8,10435.0,93.0,1.0,,0
13.0,1.0,36.0,1,5818.0,98.0,26.0,24.0,1
1.0,0.0,34.0,0,2840.0,22.0,,14.0,0
9.0,,35.0,0,2990.0,,9.0,,1
9.0,,36.0,0,2268.0,44.0,34.0,31.0,1
0.0,0.0,36.0,0,133.0,2.0,0.0,,1
1.0,0.0,36.0,0,1668.0,,,6.0,0
,0.0,33.0,1,6785.0,97.0,,22.0,0
0.0,1.0,36.0,0,628.0,7.0,9.0,4.0,1
0.0,0.0,36.0,1,338.0,4.0,4.0,2.0,0
25.0,0.0,31.0,3,16075.0,238.0,0.0,80.0,0
6.0,0.0,34.0,3,6965.0,116.0,271.0,33.0,0
2.0,0.0,36.0,0,3718.0,82.0,2.0,28.0,0
3.0,0.0,35.0,0,1665.0,44.0,38.0,20.0,0
6.0,,36.0,0,,,175.0,23.0,0
4.0,0.0,27.0,1,1315.0,36.0,,11.0,0
4.0,0.0,,0,1568.0,,,68.0,0
11.0,0.0,27.0,0,700.0,25.0,,7.0,0
0.0,0.0,26.0,0,825.0,,21.0,3.0,1
10.0,,25.0,0,,32.0,19.0,13.0,0
2.0,0.0,25.0,0,3225.0,,8.0,23.0,0
2.0,0.0,,0,,26.0,28.0,14.0,0
16.0,0.0,17.0,1,6393.0,141.0,,,0
12.0,0.0,15.0,0,8933.0,,,40.0,0
8.0,0.0,16.0,3,,,31.0,19.0,0
,0.0,9.0,1,4390.0,40.0,215.0,10.0,0
3.0,0.0,9.0,1,1488.0,,0.0,7.0,1
,0.0,40.0,1,4430.0,74.0,10.0,19.0,0
3.0,,41.0,1,378.0,8.0,12.0,,0
13.0,0.0,39.0,1,2513.0,63.0,364.0,26.0,0
13.0,0.0,,1,4258.0,69.0,6.0,37.0,0
6.0,0.0,40.0,1,,61.0,7.0,35.0,0
14.0,0.0,40.0,2,3835.0,85.0,,30.0,0
7.0,0.0,40.0,1,2420.0,42.0,290.0,20.0,0
16.0,0.0,,3,9175.0,124.0,149.0,45.0,0
10.0,0.0,,1,13833.0,172.0,5.0,46.0,0
10.0,0.0,40.0,2,4575.0,,7.0,27.0,0
9.0,0.0,40.0,1,,98.0,12.0,,0
12.0,0.0,40.0,1,2298.0,57.0,13.0,19.0,0
,0.0,40.0,4,15200.0,228.0,,34.0,0
7.0,0.0,40.0,2,3155.0,30.0,488.0,10.0,0
12.0,0.0,,1,15545.0,,155.0,32.0,0
,0.0,39.0,2,6560.0,89.0,191.0,,0
3.0,,39.0,1,935.0,17.0,5.0,,0
5.0,0.0,40.0,1,,17.0,18.0,10.0,0
3.0,,39.0,1,60.0,3.0,5.0,2.0,1
6.0,,39.0,1,7568.0,130.0,,45.0,0
10.0,0.0,39.0,2,11525.0,157.0,16.0,49.0,0
,0.0,39.0,2,6778.0,,,,0
26.0,1.0,35.0,1,,50.0,21.0,19.0,1
24.0,1.0,38.0,9,10495.0,96.0,6.0,,0
16.0,0.0,38.0,2,5878.0,,31.0,26.0,0
4.0,,36.0,1,2900.0,25.0,5.0,16.0,0
12.0,0.0,37.0,1,3050.0,44.0,14.0,,1
,1.0,,1,2328.0,47.0,39.0,33.0,1
3.0,0.0,38.0,1,193.0,5.0,5.0,4.0,1
4.0,0.0,38.0,1,1728.0,28.0,5.0,8.0,0
6.0,0.0,,2,6845.0,100.0,19.0,24.0,0
3.0,0.0,38.0,1,,10.0,14.0,6.0,1
3.0,0.0,38.0,2,,7.0,9.0,4.0,0
28.0,0.0,33.0,4,16135.0,241.0,5.0,82.0,0
,1.0,,4,7025.0,119.0,276.0,,0
5.0,0.0,,1,3778.0,85.0,,30.0,0
6.0,0.0,37.0,1,,47.0,43.0,22.0,0
,0.0,38.0,1,2840.0,56.0,180.0,,0
7.0,0.0,29.0,2,1375.0,39.0,198.0,,0
7.0,0.0,,1,1628.0,42.0,35.0,70.0,0
14.0,0.0,29.0,1,760.0,28.0,,9.0,0
3.0,0.0,28.0,1,885.0,13.0,26.0,5.0,0
13.0,0.0,,1,1285.0,35.0,24.0,,0
5.0,0.0,27.0,1,3285.0,64.0,13.0,25.0,0
,0.0,20.0,1,1755.0,29.0,33.0,16.0,0
19.0,0.0,19.0,2,6453.0,144.0,90.0,44.0,0
15.0,0.0,17.0,1,8993.0,,78.0,42.0,0
11.0,0.0,18.0,4,2913.0,48.0,36.0,21.0,0
5.0,0.0,11.0,2,,,220.0,12.0,0
6.0,1.0,11.0,2,1548.0,,5.0,9.0,1
5.0,0.0,36.0,0,4310.0,68.0,0.0,15.0,0
0.0,0.0,37.0,0,258.0,2.0,,2.0,0
7.0,0.0,,0,2393.0,57.0,,22.0,0
7.0,0.0,36.0,0,4138.0,63.0,,33.0,0
